485,33337
481,09998
454,63336
557,3667
500,10004
602,4001
539,53345
484,93332
617,2666
588,93335
551,79987
578,63336
560,56665
559,8334
619,66675
532,23334
626,9667
567,7999
637,9
683,50006
648,4333
586,7666
652,5001
588,9666
610,0333
684,2
644,0668
617,73334
622,1334
687,49994
837,2667
859,1665
912,03326
957,53314
1018,7
1726,8666
2598,6665
4592,5664
3711,4993
4337,5664
6310,0996
10435,199
7975,766
8085,4346
9234,867
7593,9004
8286,532
8641,165
7826,8667
10318,534
7121,267
7337,567
8455,935
7397,2344
8894,667
9156,099
8848,267
9075,5
9418,099
8750,333
8566,166
8236,166
7486,034
7750,201
9191,9
10691,701
9408,866
8406,134
7866,6646
7155,1655
7864,43
9287,901
9099,001
9262,764
10115,102
9790,268
10246,935
7595,3677
7366,0654
8495,034
10096,701
8630,432
8813,2
9277,698
9735,633
7883,265
9298,199
7979,2007
9046,632
7215,4336
8588,935
10917,567
9891,9
9204,766
10008,733
8077,935
9639,1
10116,399
8502,102
8555,531
