457,96664
465,20016
485,00003
537,36664
476,86658
538,49994
488,80008
522,40015
484,19992
626,66656
539,49994
589,1333
476,6
544,3
547,43335
539,7332
560,8666
563,6
637,09985
656,66656
604,23346
701,6332
656,8
743,90015
805,80005
770,5334
878,13354
846,26666
937,73346
921,6334
1048,1332
980,66675
1023,9336
1028,3667
1078,7335
1508,8997
1463,0001
1703,0328
1838,3667
3806,932
3285,6665
5169,7
6524,3013
8930,401
9878,3
9601,435
9850,502
10880,1
10777,131
10902,665
10653,733
10211,901
9599,468
7955,9336
10080,633
10989,767
10019,134
10636,2
7905,6333
9343,699
10892,4
8636,469
10883,065
11471,332
10017,468
9226,699
11831,801
10961,664
11134,2
10600,331
10428,932
9129,937
11258,434
11724,097
11182,335
12096,901
13187,6
12584,732
10625,866
10223,8
10583,166
10589,532
13090,135
11617,501
12749,969
11497,602
13306,798
13806,77
13553,9
12820,863
12569,803
11782,435
11912,267
12370,503
11082,465
11085,566
12190,87
13242,106
12937,83
12509,666
