438,63333
472,70004
483,96664
481,00003
598,20013
578,2333
635,73346
650,49994
564,49994
566,09985
596,7999
660,2333
645,3
553,23334
567,76666
586,4334
555,9332
720,7
1069,6665
1727,3995
3118,2334
5504,966
6682,5996
7440,765
8392,333
8571,231
9177,835
9622,935
8752,3
8899,367
10837,869
9874,767
11626,335
10757,164
12036,398
9270,766
10189,333
11012,099
10472,466
11968,865
13589,534
9538,833
10967,17
12685,668
11585,063
10656,1
11009,134
12660,001
12194,268
12312,866
13095,197
12137,764
12572,135
13710,968
13240,197
12599,799
11419,768
10366,965
11597,799
12880,832
10505,301
11052,834
10997,732
9862,2
12194,867
12445,599
11498,265
11839,732
13160,701
12245,165
11341,2
13205,3
11364,735
12995,701
12300,102
12845,232
14231,429
13025,433
12909,866
13386,603
14210,969
10989,534
11639,966
10363,166
11843,202
12980,366
12524,534
12280,799
11871,732
13010,801
12272,331
15111,298
12171,032
12627,098
13326,63
13041,666
13188,395
12727,435
12267,269
12576,965
