503,5667
496,06668
479,79996
470,86667
551,8999
476,0667
498,80008
548,03326
609,69995
581,89996
505,1334
536,10004
567,6001
558,4
558,66675
637,8334
546,3999
588,86676
618,16675
527,80005
574,1333
570,1001
553,4666
569,0999
625,0666
623,2333
641,86664
571,0001
619,4332
528,1333
614,06665
659,0
625,90015
551,9334
659,6666
866,8334
1018,3
1318,2334
1428,0665
1525,7997
1617,1669
1687,2332
1635,2332
1484,6332
1665,6996
1877,0668
2024,7
1939,6
2792,7336
3186,3665
3813,0662
4554,001
4640,3677
4885,8677
5750,9336
7179,3994
6949,2676
6165,0664
6428,768
8174,2676
9131,966
10132,169
9416,133
10770,934
9571,899
9208,231
8482,833
8675,165
8830,699
9705,4
9067,934
9284,1
7388,768
9772,836
9077,401
9005,934
9704,169
11881,968
10731,268
9883,268
11947,7
11157,397
12220,867
10783,669
12259,937
10497,032
12272,567
11084,199
8317,137
11707,3
11449,3
9814,767
10339,799
9303,635
11477,798
11001,001
9927,7
9787,7
10015,003
11837,769
